NAME,T,E,MMIP,MSLOT,UMIP,USLOT,S,M,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s034,12,21,143.106628,156.2067,8001239,30000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s035,12,19,179.744695,179.744695,1902955,26000,false,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s043,12,21,140.097648,177.23676,22074627,33000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s042,12,18,222.322154,222.322154,5474781,30000,false,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s098,12,18,154.654807,154.654808,3364819,30000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s099,12,20,168.552009,176.949843,4331529,30000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s077,12,19,139.307832,142.873668,1004808,27000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s076,12,19,149.608974,154.604865,9486898,29000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s001,12,18,205.403726,214.845777,759763,25000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s092,12,19,147.202318,147.202318,1789964,28000,false,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s093,12,19,177.693731,177.69373,1339125,24000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s049,12,19,178.460646,183.41975,1958225,28000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s048,12,20,147.495481,147.495482,1548313,28000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s023,12,18,180.970054,195.282107,12871485,30000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s022,12,22,189.736649,194.300079,1103830,30000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s054,12,19,154.655372,282.169405,494655,30000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s055,12,18,191.47889,191.47889,849206,27000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s060,12,20,179.953597,179.993596,478531,23000,false,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s061,12,18,169.121274,179.33164,1187683,20000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s029,12,21,137.32293,137.32293,60012032,33000,false,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s028,12,20,157.674693,157.674693,3305742,29000,false,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s085,12,18,130.965771,139.097331,14399745,34000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s084,12,20,212.947322,212.987322,7463723,25000,false,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s017,12,21,160.250189,163.104796,10235469,31000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s016,12,20,139.016804,143.235058,9444443,29000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s024,12,19,166.05307,166.053071,14312412,31000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s025,12,20,145.993867,147.247782,128365909,31000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s088,12,21,144.534383,161.047353,215116,29000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s089,12,20,186.340913,193.830644,3776901,26000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s053,12,19,154.998147,162.854646,1191961,25000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s052,12,19,166.166904,166.166905,2195106,25000,false,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s067,12,18,195.609987,236.331707,2943279,24000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s066,12,20,140.714389,140.71439,2842432,32000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s059,12,19,147.556602,147.556603,2436192,26000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s058,12,17,132.787381,142.378143,630830,28000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s010,12,20,141.989594,229.896859,5012351,26000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s011,12,21,141.222348,141.222348,1300249,26000,false,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s082,12,18,164.424007,164.424007,838365,26000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s083,12,21,184.351092,184.351093,3605350,32000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s033,12,19,168.289674,168.289673,1410148,25000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s032,12,21,170.741189,174.364391,28991237,32000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s044,12,20,170.291225,182.600717,16949683,27000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s045,12,20,168.674705,191.132689,42705678,33000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s039,12,20,163.37944,171.872577,36508191,32000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s038,12,20,202.471145,202.471145,3053175,29000,false,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s070,12,21,125.941288,125.941288,448553,25000,false,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s071,12,18,184.749543,184.749543,5962533,29000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s095,12,17,206.89689,341.588149,5561035,23000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s094,12,19,129.721572,197.602148,7140213,28000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s007,12,19,150.616856,150.616856,4393382,27000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s006,12,19,164.445643,164.445643,2160115,27000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s063,12,21,170.336606,170.336607,5018649,27000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s062,12,19,207.657263,207.657263,2993244,28000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s086,12,18,161.020768,162.241502,988723,36000,false,false,,,
