NAME,T,E,MMIP,Mheft-nf,UMIP,Uheft-nf,S,M,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s034,13,20,192.042051,207.571169,7810802,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s035,13,21,142.687086,142.687087,199184907,47000,true,true,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s043,13,23,156.531448,201.680293,143397406,42000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s042,13,19,200.424226,238.469649,19850732,45000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s098,13,20,153.787655,206.607733,86253226,45000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s099,13,21,169.759924,218.749666,122832560,50000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s077,13,18,124.265758,137.015591,141088603,48000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s076,13,23,139.507016,176.163038,409103752,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s001,13,20,185.475545,238.832422,7634350,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s092,13,21,177.412365,227.744242,630174502,45000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s093,13,17,250.633722,283.135333,19112461,47000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s049,13,20,177.410641,251.672362,36687676,44000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s048,13,19,214.738608,245.502071,24330054,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s023,13,21,187.054546,242.324079,148039757,45000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s022,13,20,196.156898,243.543379,370105939,44000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s054,13,22,136.076348,151.771231,176627756,44000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s055,13,21,171.374937,263.656314,11642038,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s060,13,23,149.754094,228.252682,32427096,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s061,13,22,179.745717,186.706262,553017075,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s029,13,21,136.723398,148.738233,1176375302,45000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s028,13,18,235.936063,258.295961,21864918,50000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s085,13,19,172.255486,186.610411,14487358,59000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s084,13,21,168.823274,176.277243,36544814,48000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s017,13,22,171.504932,205.824121,1301559592,46000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s016,13,21,157.982708,169.165169,28677998,44000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s024,13,21,161.190822,184.13531,2395770859,46000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s025,13,23,143.900766,148.504274,3160360887,44000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s088,13,20,135.380973,161.655687,6355397,46000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s089,13,20,217.428348,292.912702,55328651,48000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s053,13,21,157.281872,203.603545,26736626,44000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s052,13,21,159.063991,257.876314,285108570,47000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s067,13,19,173.261897,188.719137,3945490,47000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s066,13,22,157.565068,176.996862,1197133215,44000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s059,13,19,147.596602,178.6659,21525660,45000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s058,13,20,123.337074,135.185709,7849328,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s010,13,21,143.658628,183.324466,314350750,48000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s011,13,22,149.607123,149.607123,102179200,44000,true,true,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s082,13,20,135.002281,210.260021,24430577,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s083,13,20,204.029444,282.455955,9689086,47000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s033,13,21,189.036775,238.179396,700705328,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s032,13,20,197.180576,253.109939,45123464,44000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s044,13,21,189.419171,230.86614,867466823,44000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s045,13,21,176.47596,208.038847,36319983,50000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s039,13,21,144.606891,197.417233,778261581,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s038,13,22,202.322422,221.065226,3421251354,46000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s070,13,20,144.151999,186.687899,2035500431,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s071,13,21,163.802216,163.802216,161652790,47000,false,true,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s095,13,20,159.059244,213.108332,204900143,43000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s094,13,19,157.893128,194.18407,112861291,45000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s007,13,22,157.97414,207.182711,606774651,44000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s006,13,18,196.907013,236.282223,5180518,50000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s063,13,20,185.966469,217.672358,87296387,50000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s062,13,23,180.148807,180.493262,530221971,46000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s086,13,20,207.751893,291.770431,10452943,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s087,13,20,149.669966,173.636181,92835576,48000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s014,13,22,172.479377,214.48453,27527257,47000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s015,13,19,190.808338,253.919538,462232666,48000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s020,13,21,184.044258,197.687646,35736589,45000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s021,13,20,168.600677,192.226575,17732518,48000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s069,13,18,119.290784,141.304895,48110866,43000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s068,13,20,156.658293,237.778201,113911633,44000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s057,13,21,132.223141,194.059323,7964752,46000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s056,13,21,157.250821,191.816267,30036316,46000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s074,13,22,141.992354,169.184503,839749549,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s075,13,20,150.89634,170.410063,25036935,43000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s003,13,21,166.328718,221.27287,1289252973,45000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s002,13,22,167.102825,182.246124,988059982,50000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s091,13,21,165.594646,250.971999,115424339,45000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s090,13,21,180.917747,235.499246,177811252,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s037,13,19,177.336095,185.822816,74268973,45000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s036,13,22,149.478131,174.378963,635294509,48000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s040,13,20,167.49467,167.49467,157578716,44000,false,true,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s041,13,20,197.494392,226.829081,213448144,44000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s100,13,22,145.097438,163.371661,2604128913,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s009,13,20,172.538139,215.720056,66161098,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s008,13,21,167.492071,225.822395,196282644,50000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s073,13,21,163.920144,227.748443,122052766,46000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s072,13,20,191.605679,201.6744,16145158,46000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s096,13,23,136.483106,179.175319,1069328085,45000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s097,13,18,129.353271,191.9001,12999953,45000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s004,13,22,209.441099,229.110307,2050904848,44000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s005,13,20,181.529504,287.452492,8674445,50000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s079,13,21,131.248164,230.165015,6673848,48000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s078,13,21,137.767682,194.558802,29933160,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s030,13,20,148.920292,212.88327,22391202,46000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s031,13,22,199.948456,291.807511,16514148,42000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s047,13,21,153.258887,228.76918,18185192,48000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s046,13,22,192.305001,232.874913,123622873,48000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s064,13,20,129.370053,187.352319,9978579,43000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s065,13,22,203.595976,239.848548,27132746,48000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s013,13,21,166.683361,210.67115,10322192,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s012,13,20,146.210559,171.129548,695657037,46000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s081,13,21,195.472742,238.616759,7734464,45000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s080,13,22,220.430902,269.189686,9504112,45000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s027,13,21,146.311709,161.37064,38984862,46000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s026,13,22,164.241991,233.808936,612134118,50000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s019,13,21,208.014111,249.00185,2214702641,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s018,13,20,155.320803,214.654991,41359791,45000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s050,13,20,155.626786,193.96635,130305948,43000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s051,13,20,131.507213,192.203092,14063186,47000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s034,13,20,192.042051,221.530478,1492183,51000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s035,13,22,151.383939,152.002788,34340068,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s043,13,24,156.531448,201.680293,48717662,50000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s042,13,20,200.424226,238.469649,7136739,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s098,13,20,153.787655,212.718424,43260679,48000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s099,13,22,169.759924,218.749666,62962289,50000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s077,13,19,124.265758,155.660358,25140624,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s076,13,23,139.507016,176.163038,88683063,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s001,13,20,185.475545,238.832422,10729679,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s092,13,21,177.412365,202.405969,31305599,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s093,13,18,250.633722,283.135333,9230909,44000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s049,13,21,186.719415,251.672362,70837569,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s048,13,20,214.738608,245.502071,4183721,44000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s023,13,21,192.765344,232.04561,14326337,44000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s022,13,21,196.156898,243.543379,457041340,50000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s054,13,23,136.076348,151.771231,103031924,43000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s055,13,22,171.374937,263.656314,6302056,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s060,13,23,149.754094,228.252682,8782511,48000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s061,13,22,184.211193,204.152224,125889039,43000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s029,13,21,145.634684,157.049987,333958332,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s028,13,19,235.936063,258.295961,9978636,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s085,13,20,172.255486,186.610411,27597216,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s084,13,21,168.823274,176.277243,8925540,48000,false,false,,,
