NAME,T,E,MMIP,MDAMS,UMIP,UDAMS,S,M,,,
xc7s25 t14 e013 r0.1 R0.5 d10.0 D50.0 s001,14,22,196.290368,196.330368,329228941,37000,false,true,,,
xc7s25 t14 e013 r0.1 R0.5 d10.0 D50.0 s007,14,23,153.580715,154.511672,1749563875,35000,false,false,,,
xc7s25 t14 e013 r0.1 R0.5 d10.0 D50.0 s006,14,22,150.031005,160.691874,7489410,32000,false,false,,,
xc7s25 t14 e013 r0.1 R0.5 d10.0 D50.0 s003,14,23,190.589101,284.902422,528367038,38000,false,false,,,
xc7s25 t14 e013 r0.1 R0.5 d10.0 D50.0 s002,14,24,181.007523,286.757141,140542865,37000,false,false,,,
xc7s25 t14 e013 r0.1 R0.5 d10.0 D50.0 s004,14,23,205.822666,275.985428,1293304975,37000,false,false,,,
xc7s25 t14 e013 r0.1 R0.5 d10.0 D50.0 s005,14,22,182.912997,182.912997,10480169,35000,true,true,,,
xc7s25 t14 e014 r0.1 R0.5 d10.0 D50.0 s001,14,23,196.290368,196.330368,12036751,39000,false,true,,,
xc7s25 t14 e014 r0.1 R0.5 d10.0 D50.0 s007,14,24,154.511672,154.511672,2298481334,36000,false,true,,,
xc7s25 t14 e014 r0.1 R0.5 d10.0 D50.0 s006,14,23,150.031005,160.691874,7517341,31000,false,false,,,
xc7s25 t14 e014 r0.1 R0.5 d10.0 D50.0 s003,14,24,194.393845,194.393844,769152906,34000,false,true,,,
xc7s25 t14 e014 r0.1 R0.5 d10.0 D50.0 s002,14,24,181.007523,286.757141,118214594,37000,false,false,,,
xc7s25 t14 e014 r0.1 R0.5 d10.0 D50.0 s004,14,24,205.822666,275.985428,2086322322,37000,false,false,,,
xc7s25 t14 e014 r0.1 R0.5 d10.0 D50.0 s005,14,22,201.213623,204.322671,2797711249,36000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s001,14,28,205.202368,205.202368,3527070,33000,true,true,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s022,14,29,226.559348,234.280803,140159107,29000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s017,14,28,187.064381,299.534826,524138075,37000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s016,14,27,232.714599,235.332322,197351082,32000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s010,14,28,217.532166,217.572166,44886371,37000,false,true,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s011,14,28,180.689061,180.689061,18367997,42000,true,true,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s007,14,29,154.511672,154.511672,255892384,37000,false,true,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s006,14,28,163.306556,163.306556,15378437,31000,true,true,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s014,14,26,215.834725,215.834725,26313990,31000,false,true,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s015,14,28,187.038215,210.330506,434167469,35000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s020,14,27,273.209495,273.249495,61568978,35000,false,true,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s021,14,28,183.216814,204.778526,69665840,48000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s003,14,28,211.141604,332.796397,23955361,45000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s002,14,30,203.444984,203.444984,25903515,30000,false,true,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s009,14,27,191.301509,193.058545,670083067,41000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s008,14,30,184.596529,310.250234,3452311498,39000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s004,14,27,259.201687,259.241688,19203885,34000,false,true,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s005,14,29,201.213623,201.213623,34314419,35000,true,true,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s013,14,27,171.941358,171.941357,14229186,32000,true,true,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s012,14,26,190.080538,202.08797,35515632,34000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s019,14,28,249.668581,249.668582,421155238,32000,true,true,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s018,14,28,165.37558,165.791245,49204158,31000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s034,14,30,176.235055,176.235055,40905670,39000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s035,14,31,150.663559,150.66356,25484797,35000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s043,14,31,199.058921,199.810035,1369320510,36000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s042,14,29,273.710256,273.710256,33553805,39000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s098,14,31,199.327435,199.327435,32866880,36000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s099,14,30,202.120873,325.458549,28678831,36000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s077,14,28,175.136651,184.861724,74369278,30000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s076,14,30,192.707882,202.938009,270234719,39000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s001,14,30,240.932596,240.932596,8948524,31000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s092,14,29,204.379046,204.379046,14217124,31000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s093,14,30,298.619051,298.659051,76172955,32000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s049,14,29,312.638153,312.638152,6398250,38000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s048,14,31,197.239885,197.239886,133099944,39000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s023,14,32,224.808884,256.340427,1500025394,38000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s022,14,31,226.559348,226.559348,28141852,32000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s054,14,30,215.53669,215.53669,324012204,34000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s055,14,31,202.147514,202.147514,23571849,29000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s060,14,30,194.098369,287.558655,5341643,33000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s061,14,32,199.787491,224.000436,355684227,34000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s029,14,30,189.384713,193.997632,702311620,36000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s028,14,30,201.048864,204.003984,61668851,39000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s085,14,31,161.535719,180.502177,580465347,35000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s084,14,29,213.759769,214.851069,7299453,35000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s017,14,31,193.194921,214.824212,81574810,35000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s016,14,29,254.854234,254.854234,39603811,32000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s024,14,30,184.075735,201.219294,41672523,43000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s025,14,32,203.049385,205.23925,59839925,39000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s088,14,29,201.115763,201.115762,7073173,34000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s089,14,32,245.517253,409.010197,54307591,40000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s053,14,31,187.038399,189.347376,15452023,34000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s052,14,30,207.482728,210.10468,14011968,35000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s067,14,32,188.698566,204.314114,176821757,34000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s066,14,32,170.303646,190.083747,1020844530,36000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s059,14,30,185.518185,185.558185,16081537,29000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s058,14,30,142.376,142.375998,144844701,38000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s010,14,31,217.532166,217.572166,18331153,35000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s011,14,30,191.561407,191.561407,9317920,31000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s082,14,32,213.868026,213.868026,17817664,32000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s083,14,31,213.74263,219.596967,60753337,31000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s033,14,30,215.708408,224.349262,58464043,43000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s032,14,31,269.077331,270.057011,37392384,43000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s044,14,30,239.194727,239.194727,475111187,42000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s045,14,31,231.229841,231.229841,21348055,37000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s039,14,30,194.412344,194.412344,19939423,33000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s038,14,32,266.02975,268.955695,207343977,41000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s070,14,30,233.381154,233.381153,40168340,30000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s071,14,30,246.249426,246.289426,185489787,31000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s095,14,29,196.035224,196.035224,21793276,35000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s094,14,28,233.991499,235.749156,24753303,39000,false,false,,,
