NAME	T	E	MMIP	MDAMS	UMIP	UDAMS	S	M
"xc7s25 t15 e013 r0.1 R0.5 d10.0 D50.0 s001"	15	24	179.195549	179.195549	817307267	51000	true	true
"xc7s25 t15 e014 r0.1 R0.5 d10.0 D50.0 s001"	15	25	179.195549	179.195549	110547007	49000	false	true
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s001"	15	28	222.963835	223.003834	45083496	37000	false	true
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s023"	15	28	221.672519	260.139852	412372540	37000	false	false
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s022"	15	26	254.916080	256.659688	26447314	38000	false	false
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s028"	15	28	225.978263	231.615548	127197133	37000	false	false
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s017"	15	28	215.400842	215.400842	3059674797	39000	false	true
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s016"	15	29	181.906666	195.641962	732293916	40000	false	false
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s024"	15	28	225.021533	231.134417	2679048842	44000	false	false
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s025"	15	27	194.624492	194.624492	12565029	35000	true	true
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s010"	15	28	217.616692	217.616692	39588003	36000	true	true
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s011"	15	29	180.737420	206.208135	2147358405	42000	false	false
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s007"	15	28	224.185385	227.647855	810715461	42000	false	false
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s006"	15	29	176.442979	201.085063	24077083	43000	false	false
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s014"	15	28	225.107735	227.372746	2455042026	43000	false	false
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s015"	15	31	206.811471	206.811472	368827671	41000	true	true
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s020"	15	28	204.944435	214.770406	119493773	53000	false	false
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s021"	15	28	231.170855	231.170854	41380395	39000	false	true
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s003"	15	31	231.763814	231.763813	2006764244	43000	false	true
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s002"	15	31	207.659664	207.659664	280913518	38000	true	true
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s009"	15	29	190.891320	190.931320	35435302	42000	false	true
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s008"	15	29	206.378902	216.763717	1582206031	39000	false	false
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s004"	15	30	225.327975	370.205075	2392476978	47000	false	false
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s005"	15	27	199.068712	199.068712	408918483	36000	true	true
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s013"	15	30	221.984635	231.663262	150007587	40000	false	false
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s012"	15	29	193.804193	195.331945	909187662	40000	false	false
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s027"	15	28	226.643589	226.683590	420271993	39000	false	true
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s026"	15	29	195.087611	203.203988	17905622	42000	false	false
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s019"	15	30	245.840371	245.840371	164389543	40000	true	true
"xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s018"	15	29	177.344579	188.533527	1711085492	44000	false	false
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s001"	15	30	239.217713	239.217712	207470255	43000	true	true
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s023"	15	31	221.672519	236.188383	473542625	34000	false	false
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s022"	15	29	254.916080	256.659688	9112721	42000	false	false
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s029"	15	33	198.927331	198.927331	3907192531	39000	false	true
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s028"	15	31	240.560615	240.560614	54888909	45000	false	true
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s017"	15	31	226.599966	232.991379	1473569738	42000	false	false
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s016"	15	32	181.906666	181.906666	190125482	40000	true	true
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s024"	15	30	225.021533	231.370437	1429295458	48000	false	false
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s025"	15	29	209.204290	209.204290	7159205	33000	true	true
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s010"	15	29	251.391338	259.949307	10216440	41000	false	false
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s011"	15	31	180.737420	180.737420	148761458	41000	true	true
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s032"	15	30	219.967181	219.967181	570455160	38000	true	true
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s007"	15	30	224.185385	227.647855	88541941	42000	false	false
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s006"	15	32	176.442979	202.135858	13264562	44000	false	false
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s014"	15	31	225.107735	227.372746	802211651	46000	false	false
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s015"	15	31	225.273544	225.273545	185098085	39000	false	true
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s020"	15	30	222.482316	229.412106	2612574994	50000	false	false
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s021"	15	30	258.419368	258.419367	1332588516	43000	false	true
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s003"	15	34	231.763814	231.763813	1022797899	45000	false	true
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s002"	15	34	207.659664	207.659664	205240758	36000	true	true
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s009"	15	32	190.891320	272.063728	18421067	44000	false	false
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s008"	15	32	226.844651	231.582537	167872346	41000	false	false
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s004"	15	33	228.079141	369.500946	1251266347	58000	false	false
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s005"	15	30	218.691354	221.836037	2044246992	49000	false	false
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s030"	15	30	191.232358	198.977275	152928963	53000	false	false
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s031"	15	29	232.874418	239.104954	57725077	40000	false	false
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s013"	15	32	221.984635	231.663262	91621796	52000	false	false
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s012"	15	32	214.721350	247.564014	354492365	40000	false	false
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s027"	15	31	226.643589	226.683590	434662574	44000	false	true
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s026"	15	32	227.368614	273.865709	1033681824	68000	false	false
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s019"	15	32	270.144690	280.078774	99071339	57000	false	false
"xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s018"	15	32	180.600044	188.533527	148489880	50000	false	false
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s034"	15	73	354.474791	354.474790	227843990	115000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s035"	15	73	328.300032	386.665225	120925727	99000	false	false
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s043"	15	75	349.733351	349.733352	30791516	89000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s042"	15	73	437.409035	437.409033	70453896	97000	true	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s098"	15	73	365.053190	365.053191	101493213	97000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s099"	15	73	373.860456	373.860456	38486735	91000	true	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s077"	15	73	279.558557	279.558556	24969220	97000	true	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s076"	15	73	352.922124	569.675329	31475376	91000	false	false
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s001"	15	74	372.072024	372.072023	41438296	87000	true	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s092"	15	73	368.520352	368.520352	79714789	93000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s093"	15	74	374.301371	374.301371	27231258	64000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s049"	15	73	377.418337	471.601469	159054467	91000	false	false
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s048"	15	73	335.405223	335.405224	76837510	103000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s023"	15	74	388.026648	388.026647	125303684	107000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s022"	15	73	426.124688	426.124688	184520944	98000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s054"	15	73	356.252941	356.252941	211625932	109000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s055"	15	73	383.941954	383.941953	28159104	89000	true	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s060"	15	73	327.054847	327.054846	39193135	66000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s061"	15	73	342.787927	342.787927	26016716	68000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s029"	15	73	339.473505	339.473506	342117542	111000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s028"	15	74	363.021603	363.021603	93348141	98000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s085"	15	74	274.382088	274.382088	63170686	77000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s084"	15	73	340.210113	395.580469	28916659	70000	false	false
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s017"	15	73	390.243380	390.243380	126085238	115000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s016"	15	73	362.257039	362.257038	915321865	93000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s024"	15	73	372.258111	372.258113	102983267	106000	true	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s025"	15	73	332.460425	332.460425	262349024	109000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s088"	15	73	302.477950	302.477950	34088647	74000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s089"	15	73	379.595735	379.595737	38886174	69000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s053"	15	73	247.231582	247.231582	10366099	60000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s052"	15	73	350.323869	417.265444	23804083	91000	false	false
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s067"	15	73	361.597059	361.597059	202173363	109000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s066"	15	73	305.802753	305.802755	50090795	82000	true	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s059"	15	73	343.530944	343.530944	63887019	113000	true	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s058"	15	73	253.455824	253.455823	44419945	78000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s010"	15	74	381.644549	381.644549	66036222	102000	true	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s011"	15	73	327.309805	327.309804	388027552	92000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s082"	15	73	299.852748	299.852748	88632564	56000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s083"	15	73	468.296032	468.296032	69738166	96000	true	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s033"	15	73	394.744938	394.744938	80828326	97000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s032"	15	73	394.436289	394.436290	397519404	106000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s044"	15	73	363.327681	363.327681	151829280	94000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s045"	15	74	355.578540	355.578539	58939708	81000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s039"	15	74	310.783479	310.783478	190297142	74000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s038"	15	73	445.364228	445.364230	262460902	97000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s070"	15	73	346.025307	346.025306	137185559	87000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s071"	15	73	400.095121	400.095121	56828371	104000	true	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s095"	15	73	367.277458	367.277458	125565399	102000	true	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s094"	15	73	357.711736	357.711736	147537169	96000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s007"	15	74	313.776804	313.776805	42811659	101000	true	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s006"	15	73	367.247271	392.940151	153293917	102000	false	false
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s063"	15	73	398.206815	398.206815	71274663	88000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s062"	15	74	411.730671	411.730672	87516443	107000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s086"	15	74	395.066914	395.066914	152325299	98000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s087"	15	73	370.771334	370.771334	196642894	95000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s014"	15	73	392.969592	392.969591	265089218	104000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s015"	15	73	385.291037	385.291039	260423259	112000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s020"	15	73	380.762464	380.762464	138343181	113000	true	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s021"	15	73	405.700893	405.700893	246690894	103000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s069"	15	73	250.719215	250.719215	156324535	104000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s068"	15	74	313.097668	313.097667	79720115	112000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s057"	15	73	279.485453	279.485454	26821096	76000	true	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s056"	15	73	398.946556	398.946554	96871770	86000	true	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s074"	15	73	342.675444	342.675443	62901873	103000	true	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s075"	15	73	373.957619	373.957619	181703077	111000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s003"	15	73	399.461738	473.903189	209059835	110000	false	false
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s002"	15	73	364.974363	437.769431	67148096	95000	false	false
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s091"	15	73	383.071145	383.071145	24262171	87000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s090"	15	73	360.865545	360.865545	42270538	93000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s037"	15	73	361.809935	361.809933	266330392	109000	false	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s036"	15	73	351.232142	402.885848	41404187	113000	false	false
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s040"	15	74	350.234029	350.234029	65052068	83000	true	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s041"	15	74	365.830055	365.830055	86552951	102000	true	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s100"	15	73	306.956615	317.158670	117834072	91000	false	false
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s009"	15	73	362.348493	362.348492	109493139	106000	true	true
"xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s008"	15	74	400.782212	400.782212	142398666	101000	false	true
