NAME,T,E,MMIP,MSLOT,UMIP,USLOT,S,M,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s034,6,7,80.844797,80.844797,27791,11000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s035,6,7,64.823659,64.823659,17438,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s043,6,7,60.580379,60.58038,10231,10000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s042,6,7,78.246091,78.246091,21971,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s098,6,7,56.790164,56.790164,16116,10000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s099,6,7,70.641844,70.641844,17665,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s077,6,7,42.525405,42.525405,27861,11000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s076,6,7,53.217534,53.217534,17584,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s001,6,7,56.142553,56.142553,5827,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s092,6,7,60.808925,60.808925,22906,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s093,6,7,59.285783,59.285783,5650,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s049,6,7,85.711314,85.711314,18193,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s048,6,7,60.720017,60.720018,26997,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s023,6,7,87.996632,87.996632,17090,13000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s022,6,7,71.902575,71.902574,17014,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s054,6,7,41.762982,41.762982,22860,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s055,6,7,82.837881,82.837882,22550,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s060,6,7,88.929712,88.929712,25026,10000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s061,6,7,88.582252,88.582252,15611,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s029,6,7,53.423248,53.423248,17131,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s028,6,7,70.948342,70.948342,24776,11000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s085,6,7,54.651281,54.651281,10056,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s084,6,7,81.755263,81.755263,19742,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s017,6,7,63.932244,63.932244,10256,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s016,6,7,74.19263,74.192631,18410,10000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s024,6,7,69.104285,69.104285,26961,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s025,6,7,78.139072,78.139072,26694,11000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s088,6,7,54.128473,54.128472,18332,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s089,6,7,62.952621,62.952621,22596,13000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s053,6,7,57.462382,57.462383,20567,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s052,6,7,57.108879,57.108879,17279,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s067,6,7,55.910678,55.910678,18529,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s066,6,7,64.257532,64.257533,24603,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s059,6,7,69.716099,69.716099,18753,11000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s058,6,7,55.368704,55.368704,9526,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s010,6,7,79.957908,79.957908,5016,12000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s011,6,7,53.906415,53.906414,1542,10000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s082,6,7,59.666277,59.666277,30504,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s083,6,7,79.712182,79.712182,11758,10000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s033,6,7,69.634072,69.634071,18420,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s032,6,7,59.944534,59.944534,25929,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s044,6,7,89.105702,89.105702,30967,11000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s045,6,7,69.830206,69.830206,20633,13000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s039,6,7,66.390657,66.390657,11549,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s038,6,7,83.871672,83.871672,18132,11000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s070,6,7,64.252461,64.252461,12281,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s071,6,7,64.962272,64.962273,35360,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s095,6,7,72.16563,72.165631,20146,10000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s094,6,7,59.926856,59.926855,27819,10000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s007,6,7,44.007118,44.007119,6237,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s006,6,7,61.4651,61.4651,4291,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s063,6,7,70.971602,70.971602,22876,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s062,6,7,76.080922,76.080922,21237,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s086,6,7,72.695978,72.695979,11277,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s087,6,7,39.925331,39.925331,17105,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s014,6,7,60.258147,60.258147,24868,11000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s015,6,7,75.641582,75.641583,19201,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s020,6,7,71.452903,71.452903,25482,10000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s021,6,7,76.695536,76.695536,14138,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s069,6,7,43.540105,43.540105,32844,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s068,6,7,60.051618,60.051618,14890,11000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s057,6,7,48.588278,48.588278,18468,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s056,6,7,79.646118,79.646118,14966,10000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s074,6,7,76.978546,76.978546,30344,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s075,6,7,56.233237,56.233238,22970,10000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s003,6,7,78.813583,78.813582,5605,11000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s002,6,7,67.85325,67.85325,6676,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s091,6,7,62.010701,62.010701,18692,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s090,6,7,73.867748,73.867748,19950,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s037,6,7,75.796925,75.796924,26072,14000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s036,6,7,76.117603,76.117603,27040,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s040,6,7,54.737879,54.73788,5023,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s041,6,7,67.02413,67.02413,21663,13000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s100,6,7,74.837993,74.837992,24311,13000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s009,6,7,82.612886,82.612886,3928,14000,true,true,,,,
