NAME	T	E	MMIP	Mheft-nf	UMIP	Uheft-nf	S	M
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s034"	6	7	80.844797	115.740911	27791	41000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s035"	6	7	64.823659	83.431503	17438	47000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s043"	6	7	60.580379	60.580380	10231	47000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s042"	6	7	78.246091	78.246091	21971	46000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s098"	6	7	56.790164	71.156821	16116	41000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s099"	6	7	70.641844	70.641844	17665	44000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s077"	6	7	42.525405	54.058399	27861	46000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s076"	6	7	53.217534	74.366538	17584	43000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s001"	6	7	56.142553	56.142553	5827	46000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s092"	6	7	60.808925	64.330154	22906	42000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s093"	6	7	59.285783	59.285783	5650	45000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s049"	6	7	85.711314	85.711314	18193	45000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s048"	6	7	60.720017	60.720018	26997	42000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s023"	6	7	87.996632	103.648435	17090	47000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s022"	6	7	71.902575	94.653545	17014	44000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s054"	6	7	41.762982	41.762982	22860	47000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s055"	6	7	82.837881	82.837882	22550	42000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s060"	6	7	88.929712	127.889299	25026	45000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s061"	6	7	88.582252	88.582252	15611	45000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s029"	6	7	53.423248	75.001967	17131	44000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s028"	6	7	70.948342	98.177679	24776	48000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s085"	6	7	54.651281	75.532499	10056	45000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s084"	6	7	81.755263	96.118751	19742	43000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s017"	6	7	63.932244	84.275023	10256	43000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s016"	6	7	74.192630	74.192631	18410	45000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s024"	6	7	69.104285	69.104285	26961	46000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s025"	6	7	78.139072	78.139072	26694	46000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s088"	6	7	54.128473	54.128472	18332	45000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s089"	6	7	62.952621	94.336927	22596	46000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s053"	6	7	57.462382	57.462383	20567	42000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s052"	6	7	57.108879	57.108879	17279	44000	false	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s067"	6	7	55.910678	69.860400	18529	43000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s066"	6	7	64.257532	75.576267	24603	46000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s059"	6	7	69.716099	105.741204	18753	45000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s058"	6	7	55.368704	55.368704	9526	45000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s010"	6	7	79.957908	79.957908	5016	43000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s011"	6	7	53.906415	53.906414	1542	45000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s082"	6	7	59.666277	73.076484	30504	42000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s083"	6	7	79.712182	79.712182	11758	46000	true	true
