NAME,T,E,MMIP,MDAMS,UMIP,UDAMS,S,M,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s034,8,16,123.762844,123.762843,14012,13000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s035,8,16,104.816177,104.816178,19861,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s043,8,16,146.824244,146.824245,12859,13000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s042,8,15,179.231512,179.231513,31876,14000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s098,8,15,163.412745,163.412746,26405,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s099,8,16,141.946459,141.946458,20095,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s077,8,15,120.733814,120.733815,15465,14000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s076,8,15,140.794404,140.794404,26935,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s001,8,16,146.509497,146.509497,21100,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s092,8,15,146.187921,146.187921,21134,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s093,8,15,208.335142,208.335142,17633,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s049,8,15,201.278218,201.278217,19026,14000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s048,8,15,164.04378,164.043781,35702,15000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s023,8,16,181.524179,181.524179,24614,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s022,8,15,209.429496,209.429495,33371,15000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s054,8,15,148.559439,148.559439,24310,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s055,8,15,211.900436,211.900437,29962,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s060,8,15,194.327334,194.327333,11822,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s061,8,15,207.839074,207.839074,19760,15000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s029,8,16,128.464098,128.464098,9499,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s028,8,15,205.704224,205.704223,24887,14000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s085,8,15,122.998685,122.998686,12385,13000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s084,8,15,207.926392,207.926392,25738,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s017,8,16,147.377126,147.377127,19136,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s016,8,15,184.273366,184.273366,25345,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s024,8,15,187.135029,187.135031,18013,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s025,8,15,161.808092,161.808092,19775,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s088,8,16,119.948131,119.94813,17308,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s089,8,15,172.806246,172.806247,19578,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s053,8,16,143.036762,143.036763,16039,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s052,8,16,110.507801,110.507801,15100,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s067,8,16,118.750572,118.750573,22346,16000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s066,8,16,133.689099,133.689101,8593,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s059,8,16,147.489059,147.489059,13990,14000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s058,8,15,153.152581,153.15258,17606,14000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s010,8,15,157.878996,157.878997,4683,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s011,8,15,154.114196,154.114195,18801,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s082,8,15,122.181823,122.181823,8740,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s083,8,16,204.920746,204.920746,14555,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s033,8,16,188.018634,188.018633,23793,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s032,8,15,161.551848,161.551849,17232,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s044,8,16,134.219073,134.219072,19907,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s045,8,15,159.926375,159.926375,19299,15000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s039,8,15,178.24131,178.24131,19910,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s038,8,15,196.422776,196.422777,24155,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s070,8,15,194.551027,194.551027,28719,16000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s071,8,15,199.531587,199.531587,17161,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s095,8,16,129.360285,129.360286,22052,14000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s094,8,15,166.675825,166.675824,27225,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s007,8,16,122.72925,122.729251,15509,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s006,8,15,164.608753,164.608752,8726,13000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s063,8,15,189.044755,189.044755,14415,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s062,8,16,172.81821,172.81821,25886,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s086,8,15,141.91439,141.91439,18525,13000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s087,8,15,156.871493,156.871493,21016,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s014,8,15,137.355214,137.355213,13175,15000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s015,8,15,161.71454,161.71454,15236,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s020,8,17,133.566207,133.566207,6905,13000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s021,8,15,171.525169,171.525169,30448,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s069,8,15,116.573235,116.573235,27109,16000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s068,8,15,130.997192,130.997192,17867,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s057,8,15,98.560699,98.560699,15161,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s056,8,16,179.402283,179.402282,17884,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s074,8,15,179.40732,179.40732,21538,15000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s075,8,15,185.729958,185.729958,30299,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s003,8,16,155.060652,155.060651,15788,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s002,8,15,187.216217,187.216218,30583,16000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s091,8,15,183.606421,183.606421,22096,15000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s090,8,15,184.09609,184.09609,9531,16000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s037,8,15,170.434741,170.434741,22691,15000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s036,8,15,154.743523,154.743522,5163,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s040,8,16,163.572672,163.572673,19763,15000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s041,8,16,164.923914,164.923914,17047,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s100,8,16,156.407357,156.407356,20713,15000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s009,8,16,165.989339,165.989339,21569,14000,true,true,,,,
